Name,Sport,Age,Height (cm),Weight (kg),Sex
Alexa Komarnycky,Swimming,22,180,68,F
Alexander Bryukhankov,Triathlon,25,186,76,M
Alexander Bury,Tennis,24,203,93,M
Alexander Butko,Volleyball,26,198,97,M
Alexander Dyachenko,Canoe Sprint,22,180,85,M
Alexander Horst,Beach Volleyball,29,185,88,M
Alexander John,Athletics,26,185,82,M
Alexander Kosenkow,Athletics,35,178,72,M
Alexander Massialas,Fencing,18,191,76,M
Alexander Mikhaylin,Judo,32,195,115,M
Alexander Osborne,Rowing,25,191,95,M
Alexander Peternell,Equestrian,31,181,76,M
Alexander Petersson,Handball,32,189,93,M
Alexander Peya,Tennis,32,182,82,M
Alexander Shibaev,Table Tennis,21,194,77,M
Alexander Smith,Athletics,24,183,115,M
Alexander Sukhorukov,Swimming,24,197,92,M
Alexander Tikhonov,Swimming,24,183,83,M
Alexander Volkov,Volleyball,27,210,95,M
Alexandr Dyadchuk,Canoe Sprint,29,183,87,M
Alexandr Nikolaenko,Badminton,32,190,78,M
Alexandr Shvedov,Water Polo,39,197,85,M
Alexandr Tarabrin,Swimming,27,188,75,M
Alexandra Antonova,Water Polo,20,170,55,F
Alexandra Bujdoso,Fencing,22,160,53,F
Alexandra Engelhardt,Wrestling,29,160,55,F
Alexandra Fisher,Athletics,24,174,63,F
Alexandra Hagan,Rowing,21,180,76,F
Alexandra Lacrabere,Handball,25,177,77,F
Alexandra Nascimento,Handball,30,177,67,F
Alexandra Papayeoryiou,Athletics,31,175,75,F
Alexandra Podryadova,Judo,23,160,48,F
Alexandra Razarenova,Triathlon,22,169,55,F
Alexandra Tsiavou,Rowing,26,178,61,F
Alexandra Wenk,Swimming,17,179,61,F
Alexandre Bouzaid,Fencing,31,172,64,M
Alexandre de Saedeleer,Hockey,24,183,77,M
Alexandre Despatie,Diving,27,173,76,M
Alexandre Emond,Judo,28,186,90,M
Alexandre Fabregas,Hockey,31,184,83,M
Alexandre Liess,Swimming,21,181,75,M
Alexandros Papadimitriou,Athletics,39,183,120,M
Alexandros Papamihail,Athletics,23,175,62,M
Alexandru Coci,Swimming,22,174,70,M
Alexandru Ghiban,Water Polo,25,196,96,M
Alexandru Matei,Water Polo,31,195,95,M
Alexandru Siriteanu,Fencing,28,182,81,M
Alexei Kamenski,Shooting,29,170,66,M
Alexei Klimov,Shooting,36,182,77,M
Alexey Alipov,Shooting,36,175,85,M
Alexey Cheremisinov,Fencing,27,180,78,M
Alexey Dergunov,Canoe Sprint,27,190,90,M
Alexey Khovanskiy,Fencing,25,186,80,M
Alexey Korovashkov,Canoe Sprint,20,181,82,M
Alexey Obmochaev,Volleyball,23,188,90,M
Alexey Panfili,Water Polo,38,198,98,M
Alexey Shmider,Water Polo,22,183,81,M
Alexey Shved,Basketball,23,198,84,M
Alexey Smirnov,Table Tennis,34,174,70,M
Alexey Svirin,Rowing,33,202,104,M
Alexey Yakimenko,Fencing,28,184,79,M
Alexianne Castel,Swimming,22,180,76,F
Alexis G Martinez,Shooting,21,161,51,F
